player,position,targets,receptions,yards,tds,fantasy_points,image_url
Christian McCaffrey,RB,102,102,2126,17,416.6,https://a.espncdn.com/i/headshots/nfl/players/full/3117251.png
Puka Nacua,WR,129,129,1715,10,375.0,https://a.espncdn.com/i/headshots/nfl/players/full/4426515.png
Bijan Robinson,RB,79,79,2298,11,370.8,https://a.espncdn.com/i/headshots/nfl/players/full/4430807.png
Jahmyr Gibbs,RB,77,77,1839,18,366.9,https://a.espncdn.com/i/headshots/nfl/players/full/4429795.png
Josh Allen,QB,0,0,3668,39,364.6,https://a.espncdn.com/i/headshots/nfl/players/full/3918298.png
Jonathan Taylor,RB,46,46,1963,20,362.3,https://a.espncdn.com/i/headshots/nfl/players/full/4242335.png
Jaxon Smith-Njigba,WR,119,119,1793,10,359.9,https://a.espncdn.com/i/headshots/nfl/players/full/4430878.png
Drake Maye,QB,1,1,4394,35,352.0,https://a.espncdn.com/i/headshots/nfl/players/full/4431452.png
Matthew Stafford,QB,0,0,4707,46,350.4,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
Trevor Lawrence,QB,0,0,4007,38,338.2,https://a.espncdn.com/i/headshots/nfl/players/full/4360310.png
Amon-Ra St. Brown,WR,117,117,1401,11,324.0,https://a.espncdn.com/i/headshots/nfl/players/full/4374302.png
De'Von Achane,RB,67,67,1838,12,322.8,https://a.espncdn.com/i/headshots/nfl/players/full/4429160.png
Trey McBride,TE,126,126,1239,11,315.9,https://a.espncdn.com/i/headshots/nfl/players/full/4361307.png
Dak Prescott,QB,0,0,4552,32,313.8,https://a.espncdn.com/i/headshots/nfl/players/full/2577417.png
Ja'Marr Chase,WR,125,125,1412,8,313.6,https://a.espncdn.com/i/headshots/nfl/players/full/4362628.png
James Cook,RB,58,58,1697,16,354.7,https://a.espncdn.com/i/headshots/nfl/players/full/4379399.png
CeeDee Lamb,WR,122,122,1580,12,348.0,https://a.espncdn.com/i/headshots/nfl/players/full/4241389.png
Justin Jefferson,WR,108,108,1533,10,338.3,https://a.espncdn.com/i/headshots/nfl/players/full/4262921.png
Lamar Jackson,QB,0,0,3991,41,412.1,https://a.espncdn.com/i/headshots/nfl/players/full/3916387.png
Brock Bowers,TE,112,112,1194,7,258.4,https://a.espncdn.com/i/headshots/nfl/players/full/4432665.png
Travis Kelce,TE,93,93,823,4,198.3,https://a.espncdn.com/i/headshots/nfl/players/full/15847.png
George Kittle,TE,79,79,912,9,243.2,https://a.espncdn.com/i/headshots/nfl/players/full/3040151.png
Mark Andrews,TE,67,67,756,8,211.6,https://a.espncdn.com/i/headshots/nfl/players/full/3116365.png
Dallas Goedert,TE,58,58,621,5,171.1,https://a.espncdn.com/i/headshots/nfl/players/full/3121023.png
